mode,N,p,d,sig2e,beta,re_prior,q0,sig2b0,sig2b1,sig2b2,rho0,rho1,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,1,pca-ignore,4.481957236,,,,,,,,1.580926657,138.8659191,,,,196.7649834,,,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,1,vae-ignore,4.257675093,,,,,,,200,95.95493388,191.3519897,191.2988434,53.27096939,,426.1080627,426.052948,54.79128265,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,1,vae-embed,4.151764335,,,,,,,200,115.0900524,180.3157043,180.2945557,21.04677963,,415.4620056,415.4405212,21.29776573,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,1,lmmvae,2.259195742,,0.495099515,0.169890016,0.165563986,,,200,214.201674,128.8612823,127.6934738,30.25034142,1137.491455,134.1916962,132.8987427,30.54643059,1262.211914
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,2,pca-ignore,4.447578012,,,,,,,,1.179532766,137.7176298,,,,194.8803065,,,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,2,vae-ignore,4.146596704,,,,,,,200,95.44656491,182.9532318,182.9319458,21.17847633,,414.9484253,414.9265442,21.43905067,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,2,vae-embed,4.123244832,,,,,,,200,114.7110059,180.0744934,180.0565033,18.06105232,,412.587738,412.5694885,18.27625656,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,2,lmmvae,2.004564702,,0.484588265,0.085226163,0.078989357,,,200,214.1185193,107.2431412,106.186409,15.89577198,1040.784424,112.2822723,111.0975494,16.21878815,1168.516235
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,3,pca-ignore,4.541182396,,,,,,,,1.118466139,138.3754182,,,,196.1238418,,,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,3,vae-ignore,4.255254525,,,,,,,200,95.4290154,187.3095093,187.2880554,21.56113243,,425.7961121,425.7735901,21.95439339,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,3,vae-embed,4.26596961,,,,,,,200,115.8236666,185.042572,184.9934845,49.46715164,,426.8801575,426.8295898,49.91117096,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,3,lmmvae,2.049132128,,0.482473224,0.087793134,0.082349308,,,200,214.9157162,109.6925659,108.6709976,15.79144096,1005.614319,114.8122787,113.620491,16.23660469,1175.512085
