mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,0,pca-ignore,3.267854273,,,,,1.183318377,133.3851931,,,,133.3726642,,,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,0,vae-ignore,1.842753609,,,,200,102.6043065,184.0023804,183.9387512,636.8571167,,184.3666992,184.3032074,635.8934326,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,0,vae-embed,2.797771248,,,,200,121.8525782,162.8743591,162.8131561,614.0098267,,280.0302429,279.9726563,576.9671631,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,0,lmmvae,1.261343904,,3.092473984,,200,202.2942443,168.7307662,166.131958,78.33396912,25909.74805,169.9476346,167.3337402,77.95504761,26060.98828
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,1,pca-ignore,3.294790854,,,,,1.220333576,131.7046611,,,,131.767543,,,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,1,vae-ignore,1.704247833,,,,200,101.6520879,167.409668,167.4057007,42.65796661,,170.4423065,170.4382019,41.72587585,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,1,vae-embed,2.713035017,,,,200,122.831986,161.858963,161.8292389,296.6079102,,271.5385437,271.5092468,293.6483154,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,1,lmmvae,1.456129146,,3.579746962,,200,203.7133465,229.9816049,225.7591248,22.82139969,42201.98047,229.4651159,225.2069702,22.85131073,42558.60547
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,2,pca-ignore,3.184944098,,,,,1.673127413,131.3469965,,,,131.2025648,,,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,2,vae-ignore,1.694136977,,,,200,103.530051,166.3716888,166.3663635,52.3508606,,169.4299469,169.4248962,51.83154678,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,2,vae-embed,2.357797739,,,,200,121.1484063,196.5320435,196.4076385,1244.867432,,235.9190521,235.8021088,1166.267944,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,2,lmmvae,1.442024593,,3.554815054,,200,206.0294642,209.7848411,206.2449646,24.45985794,35374.30469,209.5075742,206.0198059,24.35442352,34853.32813
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,3,pca-ignore,3.21515138,,,,,1.557361364,130.650179,,,,130.4341976,,,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,3,vae-ignore,1.721446756,,,,200,102.0285332,171.4734039,171.447052,262.3040466,,172.1869354,172.1608276,261.3825989,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,3,vae-embed,2.793708076,,,,200,122.2218461,164.186203,164.1432648,426.758606,,279.5965576,279.5543518,422.3515015,
spatial,100000,100,2,1,0.0001,1,10000,3,0.3,FALSE,0.0001,3,lmmvae,1.403807627,,3.641024828,,200,203.035753,254.10364,249.8746185,25.91745377,42264.29688,259.0478131,254.7960052,25.60557175,42492.47266
