mode,N,p,d,sig2e,beta,re_prior,q0,q1,q2,sig2b0,sig2b1,sig2b2,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,4,vae-embed,9.074658473,,,,,200,143.8400824,903.9241943,903.7548828,17.01125908,,907.6312256,907.4638062,16.75737953,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,4,lmmvae,1.913385519,,0.002982768,0.636143327,3.958075047,200,232.2926602,163.6925049,154.4830933,4.57227993,916.3483887,145.4427643,136.2359772,4.57475996,916.0999146
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,0,pca-ignore,9.656633511,,,,,,0.97156477,141.1056619,,,,141.1133115,,,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,0,pca-ohe,10.00085149,,,,,,223.6473167,12905.39893,,,,13201.93272,,,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,0,vae-ignore,9.135338181,,,,,200,95.96916819,912.5247192,912.3961182,12.83129406,,913.6629028,913.5344849,12.81707478,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,0,vae-embed,9.191368041,,,,,200,143.1534512,914.5396118,914.4080811,13.38152695,,919.2672729,919.1342773,13.28965187,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,0,lmmvae,2.35896181,,0.002626314,0.638605893,4.081122875,200,230.6424387,200.6641235,191.3419189,13.05460358,919.2020264,175.427948,166.1131897,13.05961132,918.421814
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,1,pca-ignore,9.536891977,,,,,,1.0087533,140.8872138,,,,140.9131506,,,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,1,pca-ohe,9.805243603,,,,,,230.2788949,12905.1567,,,,13218.9015,,,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,1,vae-ignore,9.074945514,,,,,200,93.59345508,903.9067993,903.7675171,13.93079853,,907.630188,907.4915771,13.85539055,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,1,vae-embed,9.124863179,,,,,200,139.6122918,905.6810303,905.5452271,13.5911684,,912.6154785,912.4805298,13.42589188,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,1,lmmvae,2.072936353,,0.002490364,0.646130323,4.07998848,200,227.9700587,176.866272,167.6098175,9.578072548,916.0678711,156.3411713,147.085495,9.59796524,915.9630737
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,2,pca-ignore,9.778422713,,,,,,1.080389261,141.1196392,,,,141.2132858,,,
