mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,3,vae-embed,1.102721593,,,,200,112.1987164,109.0654602,109.0608749,46.23712158,,110.8820114,110.8774872,45.90618515,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,3,lmmvae,0.998218622,,0.070740141,,200,190.8636558,105.1026993,105.0261612,15.44630146,749.6937866,104.4968796,104.4205627,15.45270157,747.5155029
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,4,pca-ignore,1.277712559,,,,,1.155013084,138.940569,,,,138.7524346,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,4,vae-ignore,1.08630289,,,,200,94.10471463,109.372551,109.3692093,34.2267952,,109.2979507,109.2947464,33.53574753,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,4,vae-embed,1.168971051,,,,200,111.2563753,111.0261993,111.0158768,104.6047668,,117.5770035,117.5667267,103.1055069,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,4,lmmvae,1.001967437,,0.07574717,,200,190.081147,107.9653244,107.8487473,46.18557358,1121.307251,106.4760284,106.3591385,45.45517349,1123.138794
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,0,pca-ignore,1.424814671,,,,,1.130648375,137.4532337,,,,137.464904,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,0,vae-ignore,1.061126592,,,,200,96.05806994,106.2752991,106.2727356,28.25666809,,106.6003265,106.5974731,28.31755066,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,0,vae-embed,1.184166858,,,,200,114.4103782,110.7288513,110.7224121,65.49274445,,119.0194473,119.0129242,64.61968231,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,0,lmmvae,1.00423993,,0.073600255,,200,191.9229436,107.4752884,107.3802872,24.10166931,926.0686035,106.7863617,106.6922607,24.12936401,917.2150269
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,1,pca-ignore,1.396560854,,,,,1.826370955,137.2265457,,,,137.2588059,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,1,vae-ignore,1.066957348,,,,200,96.02795267,106.5944748,106.5925598,20.89010048,,107.2644272,107.2623901,20.8562355,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,1,vae-embed,1.149309309,,,,200,113.7110963,108.2632141,108.2575989,58.00225449,,115.5271988,115.5214233,57.17636108,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,1,lmmvae,1.081374588,,0.069237515,,200,192.9690137,113.483963,113.3913269,134.8324432,791.3342285,113.11129,113.0186005,132.0957184,794.6973267
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,2,pca-ignore,1.412801507,,,,,1.155754566,135.0457053,,,,135.0453039,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,2,vae-ignore,1.121831992,,,,200,95.6320467,112.2656097,112.2633286,22.2933712,,112.844101,112.8417587,22.46043205,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,2,vae-embed,1.231110805,,,,200,113.3103054,110.8444901,110.8359528,83.92575073,,123.7770615,123.7687912,82.33155823,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,2,lmmvae,1.061530225,,0.067740418,,200,192.0060194,112.2853012,112.2061844,26.05802727,765.2902832,111.4902115,111.4114227,26.2335186,761.6246338
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,3,pca-ignore,1.429315607,,,,,1.108418941,136.2104735,,,,136.3136395,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,3,vae-ignore,1.075484793,,,,200,95.73465848,107.4850235,107.4819641,29.10998154,,108.2085876,108.2056122,29.02004433,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,3,vae-embed,1.271428434,,,,200,113.8006523,119.4868851,119.4514236,355.4077759,,127.842041,127.806488,355.6423035,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,3,lmmvae,1.001971675,,0.057933334,,200,192.1296179,106.3167496,106.2407608,30.10185051,728.8488159,105.7415466,105.6663513,30.0093441,721.3043213
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,4,pca-ignore,1.43144883,,,,,1.151703835,137.4880848,,,,137.2782633,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,4,vae-ignore,1.126002881,,,,200,96.60943198,113.0768661,113.062088,147.7633514,,113.2739105,113.2591476,146.9067535,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,4,vae-embed,1.28488079,,,,200,113.8432043,117.4653778,117.436264,289.9134216,,129.1871796,129.1585388,286.2098999,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,4,lmmvae,1.033593692,,0.070481017,,200,199.8421803,110.2721863,110.1898727,25.91096306,796.7928467,109.4834518,109.4009781,25.62598991,798.7877197
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,0,pca-ignore,3.439899285,,,,,1.100802422,138.2088606,,,,138.2325473,,,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,0,vae-ignore,1.653067951,,,,200,93.86368942,165.4129181,165.4063416,64.18802643,,165.3420258,165.3356934,63.70944977,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,0,vae-embed,1.703822277,,,,200,111.836601,169.7511597,169.6725006,787.8108521,,170.4956055,170.416626,789.6751709,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,0,lmmvae,1.171752229,,2.570251226,,200,189.9814734,165.0485849,162.8207092,50.95638657,22227.80078,150.6058171,148.3617249,50.88357544,22390.03906
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,1,pca-ignore,3.738563112,,,,,1.192160845,138.1882408,,,,138.4075211,,,
