,mode,N,p,d,sig2e,beta,re_prior,q0,sig2b0,sig2b1,sig2b2,rho0,rho1,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
60,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,vae-ohe,3.004049721,,,,,,,200,148.8213542
61,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,vrae,8.496523784,,,,,,,200,1181.278034
62,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,lmmvae,1.533063383,,0.145774677,0.114408232,0.235767588,,,200,113.0055368
63,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,svgpvae-10-16-2,3.96171659,,,,,,,199,332.1751328
64,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,pca-ignore,8.253559791,,,,,,,,0.487144947
65,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,pca-ohe,8.292519249,,,,,,,,8.822134733
66,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,vae-ignore,3.062073526,,,,,,,200,57.50370026
67,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,vae-ohe,3.063226814,,,,,,,200,157.2551022
68,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,vrae,8.912695102,,,,,,,200,1280.020917
69,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,lmmvae,1.607708379,,0.131905913,0.109936439,0.229849964,,,200,112.0937414
