,mode,N,p,d,sig2e,beta,re_prior,q0,q1,q2,sig2b0,sig2b1,sig2b2,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time
64,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,0,vae-ohe,5.525811173856031,,,,,200,443.24396657943726
65,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,0,vae-embed,5.467266151791043,,,,,200,84.84502506256104
66,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,0,lmmvae,1.9110058846934372,,0.0056059705093503,0.21683159470558167,2.102060317993164,200,115.2656307220459
67,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,1,pca-ignore,5.9581458679322825,,,,,,0.440338134765625
68,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,1,pca-ohe,6.019407668477573,,,,,,28.383496284484863
69,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,1,vae-ignore,5.736817064386115,,,,,200,57.777634143829346
70,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,1,vae-ohe,5.8234489729444965,,,,,200,443.4959948062897
71,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,1,vae-embed,5.743362962498987,,,,,200,85.40519332885742
72,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,1,lmmvae,1.773224230984817,,0.005760049447417259,0.21768292784690857,2.281865119934082,200,115.9521815776825
73,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,2,pca-ignore,5.949706720416674,,,,,,0.42673254013061523
74,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,2,pca-ohe,5.97154239678434,,,,,,28.40368390083313
75,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,2,vae-ignore,5.7306031006157,,,,,200,57.75649809837341
76,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,2,vae-ohe,5.8031320562978355,,,,,200,459.02654695510864
77,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,2,vae-embed,5.726874911615438,,,,,200,85.24514031410217
78,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,2,lmmvae,1.875779955568415,,0.005546852480620146,0.2260807454586029,2.2436537742614746,200,115.06808757781982
79,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,3,pca-ignore,5.781418769045575,,,,,,0.44557952880859375
80,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,3,pca-ohe,5.822649916320778,,,,,,28.382022857666016
81,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,3,vae-ignore,5.6630738250609065,,,,,200,57.507542848587036
82,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,0.3,3.0,False,0.0001,3,vae-ohe,5.703721728406465,,,,,200,445.46760654449463
